Taxa,Morph,18S,28S,Abd-A,Antp,Argk,CAD,EF-1a-F1,EF-1a-F2,Eno,LW-Rh,Nak,POLD1,TOP1,Ubx,Wg,Wnt-1
Acanthognathus_ocellatus,,X,X,X,,,,X,X,,X,,,,,,X
Acanthoponera_goeldii,X,,,,,,,,,,,,,,,,
Acanthoponera_minor,,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X
Acanthostichus_kirbyi,,X,X,X,,,,X,X,,X,,,,,,X
Acromyrmex_versicolor,,X,X,X,,,,X,X,,X,,,,,,X
Acropyga_acutiventris,,X,X,X,,X,,X,X,,X,,,X,X,,X
Acropyga_ayanganna,X,,,,,,,,,,,,,,,,
Acropyga_donisthorpei,X,,,,,,,,,,,,,,,,
Acropyga_epedana,X,,,,,,,,,,,,,,,,
Acropyga_sp._CF01,,X,X,X,,X,,X,,,X,,,X,X,X,
Adetomyrma_caputleae,,,,,X,X,,,,,,X,X,X,X,,
Adetomyrma_sp._MAD02,,X,X,X,,,,X,X,,X,,,,,,X
Aenictogiton_sp._ZAM02,,X,X,X,,,,X,X,,X,,,,,,X
Aenictus_ceylonicus,,X,X,X,,,,X,X,,X,,,,,,X
Aenictus_eugenii,,X,X,X,,,,X,X,,X,,,,,,X
Aglyptacros_cf._sulcatus,,X,X,X,,,,X,X,,X,,,,,,X
Agraulomyrmex_meridionalis,X,,,,,,,,,,,,,,,,
Agraulomyrmex_sp._TZ01,,X,X,X,,X,,X,X,,X,,,X,X,X,
Alloformica_aberrans,X,,,,,,,,,,,,,,,,
Alloformica_flavicornis,X,,,,,,,,,,,,,,,,
Amblyopone_australis,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Amblyopone_mutica,,X,X,X,,,,X,X,,X,,,,,,X
Amblyopone_pallipes,,,X,X,,,,X,X,,X,,,,,,X
Ampulex_compressa,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Aneuretus_simoni,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X
Aneuretus_simoni_1,X,,,,,,,,,,,,,,,,
Anillidris_bruchi,X,,,,,,,,,,,,,,,,
Ankylomyrma_coronacantha,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Anochetus_madagascarensis,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Anomalomyrma_boltoni,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Anonychomyrma_dimorpha,X,,,,,,,,,,,,,,,,
Anonychomyrma_dimorpha_1,X,,,,,,,,,,,,,,,,
Anonychomyrma_gilberti,,X,X,X,,X,X,X,X,X,X,,,,,,X
Anonychomyrma_itinerans,,X,X,X,,X,X,X,X,X,X,,,,,X,
Anonychomyrmex_scrutator,X,,,,,,,,,,,,,,,,
Anoplolepis_custodiens,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Anoplolepis_gracilipes,X,X,X,X,,X,,X,X,,X,,,X,X,,X
Aphaenogaster_albisetosa,,X,X,X,,,,X,X,,X,,,,,,X
Aphaenogaster_boulderensis,X,,,,,,,,,,,,,,,,
Aphaenogaster_occidentalis,,X,X,X,,,,X,X,,X,,,,,,X
Aphaenogaster_swammerdami,,X,X,X,,,,X,X,,X,,,,,,X
Aphomomyrmex_afer,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Apis_mellifera,,,X,X,X,X,,X,X,,X,X,X,X,X,,X
Apomyrma_sp._CF02,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Apomyrma_stygia,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Aporus_niger,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Apterogyna_sp._za01,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Apterostigma_auriculatum,,X,X,X,,,,X,X,,X,,,,,,X
Aptinoma_antongil,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Aptinoma_mangabe,,X,X,X,,X,X,X,X,X,X,,,,,X,
Arnoldius_flavus,X,,,,,,,,,,,,,,,,
Arnoldius_sp._AU01,,X,X,X,,X,X,X,X,X,X,,,,,X,
Asphinctopone_silvestrii,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Aulacopone_relicta,X,,,,,,,,,,,,,,,,
Axinidris_gabonica,X,,,,,,,,,,,,,,,,
Axinidris_hypoclinoides,X,,,,,,,,,,,,,,,,
Axinidris_mlalu,,X,X,X,,X,X,X,X,X,X,,,,,X,
Axinidris_murielae,,X,X,X,,X,X,X,X,X,X,,,,,X,
Azteca_adrepens,X,,,,,,,,,,,,,,,,
Azteca_adrepens_1,X,,,,,,,,,,,,,,,,
Azteca_beltii,X,,,,,,,,,,,,,,,,
Azteca_beltii_1,X,,,,,,,,,,,,,,,,
Azteca_instabilis,,X,X,X,,X,X,X,X,X,X,,,,,X,
Azteca_ovaticeps,,X,X,X,,X,X,X,X,X,X,,,,,,X
Azteca_schimperi,,X,X,X,,X,X,X,X,X,X,,,,,X,
Bajcaridris_theryi,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Basiceros_manni,,X,X,X,,,,X,X,,X,,,,,,X
Belonopelta_sp._HN01,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Bothriomyrmex_enigmaticus,X,,,,,,,,,,,,,,,,
Bothriomyrmex_paradoxus,,X,X,X,,X,X,X,X,X,X,,,,,X,
Bothriomyrmex_salsurae,X,,,,,,,,,,,,,,,,
Bothriomyrmex_saundersi,,X,X,X,,X,X,X,X,X,X,,,,,X,
Bothroponera_wasmannii,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Brachycistis_sp.,,,,,X,X,,,,,,X,X,X,X,,
Brachymyrmex_admotus,X,,,,,,,,,,,,,,,,
Brachymyrmex_aphidicola,X,,,,,,,,,,,,,,,,
Brachymyrmex_depilis,,X,X,X,,X,,X,X,,X,,,X,X,,X
Brachymyrmex_sp._BR01,,X,X,X,,X,,X,X,,X,,,X,X,X,
Brachyponera_obscurans,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Calomyrmex_albertisi,,X,X,X,,X,,X,X,,X,,,X,X,,X
Calomyrmex_laevissimus,,X,X,X,,X,,X,X,,X,,,X,X,X,
Calomyrmex_splendidus,X,,,,,,,,,,,,,,,,
Camponotus_cf._bedoti_BBB_2015,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_aberrans,X,,,,,,,,,,,,,,,,
Camponotus_abscisus,X,,,,,,,,,,,,,,,,
Camponotus_absquatulator,X,,,,,,,,,,,,,,,,
Camponotus_aequitas,X,,,,,,,,,,,,,,,,
Camponotus_alboannulatus,X,,,,,,,,,,,,,,,,
Camponotus_amphidus,X,,,,,,,,,,,,,,,,
Camponotus_apicalis,X,,,,,,,,,,,,,,,,
Camponotus_aureus,X,,,,,,,,,,,,,,,,
Camponotus_claviscapus,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_conithorax,,X,X,X,,X,,X,X,,X,,,X,X,,X
Camponotus_gibbinotus,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_hyatti,,X,X,X,,X,,X,X,,X,,,X,X,,X
Camponotus_maritimus,,,,,X,X,,X,X,,,X,X,X,X,,
Camponotus_sericeiventris,X,,,,,,,,,,,,,,,,
Camponotus_sp._BCA01,,X,X,X,,X,,X,X,,X,,,X,X,,X
Camponotus_sp._MG001,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_sp._MG089,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_sp._MG131,,X,X,X,,X,,X,X,,X,,,X,X,X,
Camponotus_sp._near_vicinus_15202,,X,X,X,,,,,,,X,,,,,,X
Camponotus_vitiensis,,X,X,X,,X,,X,X,,X,,,X,X,X,
Cardiocondyla_mauritanica,,X,X,X,,,,X,X,,X,,,,,,X
Cataglyphis_abyssinica,X,,,,,,,,,,,,,,,,
Cataglyphis_bombycina,X,,,,,,,,,,,,,,,,
Cataglyphis_cursor,,X,X,X,,X,,X,X,,X,,,X,X,X,
Cataulacus_sp._MAD02,,X,X,X,,,,X,X,,X,,,,,,X
Centromyrmex_angolensis,,,,,X,X,,,,,,X,X,X,X,,
Centromyrmex_sellaris,,X,X,X,,,,X,X,,X,,,,,,X
Cerapachys_augustae,,X,X,X,,,,X,X,,X,,,,,,X
Cerapachys_jacobsoni,,,X,,X,X,,X,X,,X,X,X,X,X,,X
Cerapachys_larvatus,,,,,,,,,X,,,,,,,,
Cerapachys_sexspinus,,X,X,X,,,,X,X,,X,,,,,,X
Chalybion_californicum,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Cheliomyrmex_cf._morosus,,X,X,X,,,,X,X,,X,,,,,,X
Chronoxenus_dalyi,X,,,,,,,,,,,,,,,,
Chronoxenus_javanus,,X,X,X,,X,X,X,X,X,X,,,,,X,
Chyphotes_mellipes,,,X,X,X,X,,X,X,,X,X,X,X,X,,X
Cladomyrma_nudidorsalis,X,,,,,,,,,,,,,,,,
Cladomyrma_petalae,,X,X,X,,X,,X,X,,X,,,X,X,X,
Colobopsis_bryani,X,,,,,,,,,,,,,,,,
Colobopsis_cerberula,X,,,,,,,,,,,,,,,,
Colobopsis_explodens,X,,,,,,,,,,,,,,,,
Colobopsis_saundersi,,X,X,X,,X,,X,X,,X,,,X,X,X,
Concoctio_concenta,,X,X,X,,,,X,X,,X,,,,,,X
Crematogaster_emeryana,,X,X,X,,,,X,X,,X,X,,,,,X
Crematogaster_kelleri,,,X,X,X,X,,,X,,X,,X,X,X,,X
Cryptopone_gilva,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Cryptopone_hartwigi,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Ctenobethylus_goepperti,X,,,,,,,,,,,,,,,,
Cylindromyrmex_striatus,,X,X,X,,,,X,X,,X,,,,,,X
Cyphomyrmex_cf._longiscapus_SGB-2014,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Daceton_armigerum,,X,X,X,,,,X,X,,X,,,,,,X
Dasymutilla_aureola,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Diacamma_pallidum,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Diaphoromyrma_sofiae,X,,,,,,,,,,,,,,,,
Dinomyrmex_gigas,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Dinoponera_longipes,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Discothyrea_sp._MAD07,,X,X,X,X,X,,X,X,,X,,,,,,X
Discothyrea_sp._MG07,,,,,,,,,,,,X,X,X,X,,
Discothyrea_sp._SC02,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Discothyrea_sp._SC03,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Discothyrea_testacea,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Doleromyrma_darwiniana,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Dolichoderus_affinis,X,,,,,,,,,,,,,,,,
Dolichoderus_andinus,X,,,,,,,,,,,,,,,,
Dolichoderus_angusticornis,X,,,,,,,,,,,,,,,,
Dolichoderus_debilis,,X,X,X,,X,X,X,X,X,X,,,,,X,
Dolichoderus_decollatus,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Dolichoderus_erectilobus,,X,X,X,,X,X,X,X,X,X,,,,,X,
Dolichoderus_lamellosus,,X,X,X,,X,X,X,X,X,X,,,,,X,
Dolichoderus_pustulatus,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Dolichoderus_scabridus,,X,X,X,,X,X,X,X,X,X,,,,,,X
Dolichoderus_tertiarius,X,,,,,,,,,,,,,,,,
Dorylus_helvolus,,X,X,X,,,,X,X,,X,,,,,,X
Dorylus_laevigatus,,X,X,X,,,,X,X,,X,,,,,,X
Dorymyrmex_bicolor,X,X,X,X,,X,X,X,X,X,X,,,,,,X
Dorymyrmex_ensifer,X,,,,,,,,,,,,,,,,
Dorymyrmex_planidens,,X,X,X,,X,X,X,X,X,X,,,,,X,
Echinopla_australis,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Echinopla_circulus,X,,,,,,,,,,,,,,,,
Echinopla_mezgeri,X,,,,,,,,,,,,,,,,
Echinopla_nr._striata_BBB-2015,,X,X,X,,X,,X,X,,X,,,X,X,X,
Eciton_vagans,,X,X,X,,,,X,X,,X,,,,,,X
Ecphorella_wellmani,X,,,,,,,,,,,,,,,,
Ectatomma_brunneum,X,,,,,,,,,,,,,,,,
Ectatomma_opaciventre_,,,,,,,,X,X,,,,,,,,
Ectomomyrmex_leeuwenhoeki,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Electrolasius_pumilus,X,,,,,,,,,,,,,,,,
Emeryopone_sp._MY01,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Euponera_brunoi,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Euponera_sikorae,,,,,X,X,,,,,,X,X,X,X,,
Euprenolepis_procera,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Eurhopalothrix_bolaui,,X,X,X,,,,X,X,,X,,,,,,X
Eutetramorium_mocquerysi,X,X,X,X,,,,X,X,,X,,,,,,X
Fisheropone_ambigua,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Forelius_chalybaeus,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Forelius_mccooki,X,,,,,,,,,,,,,,,,
Forelius_pruinosus,,X,X,X,,X,X,X,X,X,X,,,,,,X
Forelophilus_cf._philippinensis_BBB-2015,,X,X,X,,X,,X,X,,X,,,X,X,X,
Formica_accreta,X,,,,,,,,,,,,,,,,
Formica_lasioides,X,,,,,,,,,,,,,,,,
Formica_moki,,,,,,X,,X,X,,,,,X,X,,
Formica_neogagates,,X,X,X,,X,,X,X,,X,,,X,X,X,
Formica_rufa,X,,,,,,,,,,,,,,,,
Formicinae_sp._Genus_01_ZA02,,X,X,X,,X,,X,X,,X,,,X,X,X,
Formicinae_sp._Genus_01_ZA03,,X,X,X,,X,,X,X,,X,,,X,X,X,
Froggattella_kirbii,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Gesomyrmex_chaperi,X,,,,,,,,,,,,,,,,
Gesomyrmex_chaperi_1,X,,,,,,,,,,,,,,,,
Gesomyrmex_hoernesi,X,,,,,,,,,,,,,,,,
Gesomyrmex_sp._KH01,,X,X,X,,X,,X,X,,X,,,X,X,X,
Gesomyrmex_sp._TH01,,X,X,X,,X,,X,X,,X,,,X,X,X,
Gigantiops_destructor,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Glaphyromyrmex_oligocenicus,X,,,,,,,,,,,,,,,,
Gnamptogenys_acuminata,X,,,,,,,,,,,,,,,,
Gnamptogenys_alfaroi,X,,,,,,,,,,,,,,,,
Gnamptogenys_bicolor,X,,,,,,,,,,,,,,,,
Gnamptogenys_caelata,X,,,,,,,,,,,,,,,,
Gnamptogenys_macretes,X,,,,,,,,,,,,,,,,
Gnamptogenys_minuta,X,,,,,,,,,,,,,,,,
Gnamptogenys_striatula,,X,X,X,,,,X,X,,X,,,,,,X
Gracilidris_humiloides,X,,,,,,,,,,,,,,,,
Gracilidris_pombero,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Harpegnathos_saltator,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Heteroponera_brounii,X,,,,,,,,,,,,,,,,
Heteroponera_panamensis,,X,X,X,,,,X,X,,X,,,,,,X
Hypoponera_opacior,,,X,X,X,X,,X,X,,X,X,X,X,X,,X
Hypoponera_sakalava,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Iberoformica_subrufa,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Iberoformica_subrufa_1,X,,,,,,,,,,,,,,,,
Iridomyrmex_agilis,X,,,,,,,,,,,,,,,,
Iridomyrmex_anteroinclinus,X,,,,,,,,,,,,,,,,
Iridomyrmex_azureus,X,,,,,,,,,,,,,,,,
Iridomyrmex_bigi,X,,,,,,,,,,,,,,,,
Iridomyrmex_pallidus,,X,X,X,,X,X,X,X,X,X,,,,,X,
Iridomyrmex_sanguineus,X,X,X,X,,X,X,X,X,X,X,,,,,X,
Iridomyrmex_sp._AU01,,X,X,X,,X,X,,X,X,X,,,,,X,
Iridomyrmex_tenuiceps,X,,,,,,,,,,,,,,,,
Kyromyrma_neli,X,,,,,,,,,,,,,,,,
Labidus_praedator,,,X,,X,X,,,X,,X,X,X,X,X,,X
Lasiophanes_atriventris,X,X,X,X,,X,,X,X,,X,X,,X,X,X,
Lasiophanes_picinus,X,,,,,,,,,,,,,,,,
Lasius_californicus,,X,X,X,X,X,,X,X,,X,,X,X,X,,X
Lasius_brunneus,X,,,,,,,,,,,,,,,,
Lasius_claviger,X,,,,,,,,,,,,,,,,
Lasius_flavus,X,,,,,,,,,,,,,,,,
Lasius_fuliginosus,X,,,,,,,,,,,,,,,,
Lasius_niger,X,X,X,X,,X,,X,X,,X,,,X,X,X,
Lasius_pallitarsis,X,,,,,,,,,,,,,,,,
Lasius_schiefferdeckeri,X,,,,,,,,,,,,,,,,
Lepisiota_arabica,X,,,,,,,,,,,,,,,,
Lepisiota_arnoldi,X,,,,,,,,,,,,,,,,
Lepisiota_canescens_,,X,X,X,,X,,X,X,,X,,,X,X,X,
Lepisiota_sp._AFRC_LIM_03,,X,X,X,,X,,X,X,,X,,,X,X,X,
Leptanilla_sp._D233,,X,X,X,,,,,,,X,,,,,,X
Leptanilla_sp._GR01,,X,X,X,X,X,,X,X,,X,X,X,X,X,,X
Leptanilla_sp._GR02,,,X,X,X ,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._RSA01_,,,,,,,,X,X,,,,,,,,
Leptanilla_sp._TH01,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH02,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH03,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH04,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH05,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH06,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH08,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._TH09,,,X,X,X,X,,,X,,X,X,X,X,X,,X
Leptanilla_sp._ZA01,,,,,X,X,,,,,,X,X,X,X,,
Leptanilloides_femoralis,,,X,,X,X,,,X,,X,X,X,X,X,,X
Leptanilloides_mckennae,,X,X,X,,,,X,X,,X,,,,,,X
Leptanilloides_nomada_,,,,,,,,X,X,,,,,,,,
Leptanilloides_sp._EC1,,X,X,X,,,,,,,X,,,,,,
